SYMBOL,Company Name,Company Code,Quarter,Result Date,Price on Result Date,High in next 90 days,Low in next 90 days,Change
ABAN,abanoffshore,AO04,Sep 2019 - Dec 2019,04-02-2019,63.75,76.3,48.5,-0.23921568627450981
ARROWGREEN,arrowgreentech,ACP,Sep 2019 - Dec 2019,09-02-2019,85.0,85.0,66.85,-0.21352941176470594
AHLEAST,asianhotelseast,AHE01,Jun 2020 - Sep 2020,10-11-2020,136.15,179.8,132.95,0.32060227690047743
BALAJITELE,balajitelefilms,BT06,Dec 2021 - Mar 2022,20-05-2022,60.7,60.7,39.35,-0.3517298187808896
BALLARPUR,ballarpurindustries,BI12,Dec 2016 - Mar 2017,23-05-2017,19.6,20.15,14.05,-0.28316326530612246
BRFL,bombayrayonfashions,BRF,Jun 2020 - Sep 2020,12-11-2020,9.1,14.4,9.0,0.5824175824175826
CASTEXTECH,castextechnologies,AI49,Jun 2018 - Sep 2018,12-11-2018,1.4,1.5,0.75,-0.46428571428571425
CCCL,consolidatedconstructionconsortium,CCC02,Jun 2020 - Sep 2020,11-11-2020,0.3,0.65,0.3,1.1666666666666667
DQE,dqentertainmentinternational,DEI01,Dec 2018 - Mar 2019,07-06-2019,5.15,5.15,2.85,-0.44660194174757284
EON,eonelectric,IAF,Sep 2019 - Dec 2019,14-02-2019,35.5,43.7,31.9,0.23098591549295783
EROSMEDIA,erosinternationalmedia,EIM,Jun 2022 - Sep 2022,14-11-2022,26.75,32.35,25.65,0.2093457943925234
FCSSOFT,fcssoftwaresolutions,FCS,Jun 2018 - Sep 2018,14-11-2018,0.25,0.25,0.2,-0.19999999999999996
GFLLIMITED,gfl,GF07,Jun 2020 - Sep 2020,13-11-2020,80.35,96.75,79.45,0.2041070317361544
GTL,gtl,GTL01,Jun 2019 - Sep 2019,13-11-2019,1.4,1.7,1.35,0.21428571428571433
HUBTOWN,hubtown,AC24,Dec 2021 - Mar 2022,30-05-2022,56.55,110.65,48.15,0.9566755083996465
IL&FSENGG,ilandfsengineeringconstructioncompany,MI50,Dec 2021 - Mar 2022,29-05-2022,15.05,15.85,10.55,-0.2990033222591362
IL&FSENGG,ilandfsengineeringconstructioncompany,MI50,Jun 2020 - Sep 2020,11-11-2020,3.45,4.7,3.2,0.36231884057971014
