SYMBOL,Company Name,Company Code,Quarter,Result Date,Price on Result Date,High in next 90 days,Low in next 90 days,Change
A2ZINFRA,a2zinfraengineering,AME02,Jun 2021 - Sep 2021,12-11-2021,6.65,13.65,5.25,1.0526315789473684
A2ZINFRA,a2zinfraengineering,AME02,Sep 2018 - Dec 2018,13-02-2018,36.25,36.25,22.55,-0.3779310344827586
AARVI,aarviencon,AE19,Jun 2022 - Sep 2022,14-11-2022,152.45,191.2,150.35,0.25418169891767795
ABCAPITAL,adityabirlacapital,ABC9,Dec 2017 - Mar 2018,08-05-2018,160.4,160.4,124.25,-0.22537406483790526
ACC,acc,ACC06,Dec 2018 - Mar 2019,23-04-2019,1661.65,1759.8,1493.6,-0.10113441458790971
ACE,actionconstructionequipment,ACE3,Sep 2019 - Dec 2019,12-02-2019,84.05,116.5,71.75,0.3860797144556812
ADANIENT,adanienterprises,AE13,Jun 2021 - Sep 2021,27-10-2021,1566.55,1877.8,1398.55,0.19868500845807668
ADANIENT,adanienterprises,AE13,Sep 2018 - Dec 2018,,119.55,151.65,117.5,0.26850690087829365
ADANIENT,adanienterprises,AE13,Dec 2017 - Mar 2018,10-05-2018,126.65,199.8,105.05,0.5775759968416897
ADANIGREEN,adanigreenenergylimited,ADANI54145,Sep 2021 - Dec 2021,03-02-2021,1026.7,1313.65,1018.95,0.279487678971462
ADANIGREEN,adanigreenenergylimited,ADANI54145,Mar 2020 - Jun 2020,11-09-2020,608.65,1205.15,588.25,0.980037788548427
ADANIPOWER,adanipower,AP11,Mar 2019 - Jun 2019,07-08-2019,59.4,71.6,56.65,0.2053872053872053
ABFRL,adityabirlafashionretail,PFR,Sep 2019 - Dec 2019,04-02-2019,207.15,230.7,207.0,0.11368573497465596
ABFRL,adityabirlafashionretail,PFR,Mar 2019 - Jun 2019,06-08-2019,200.2,213.55,184.4,-0.07892107892107884
ADORWELD,adorwelding,AW01,Sep 2021 - Dec 2021,05-02-2021,294.95,420.5,294.95,0.42566536701135793
ADORWELD,adorwelding,AW01,Dec 2020 - Mar 2021,28-05-2021,418.4,775.85,418.4,0.854326003824092
ARVINDFASN,arvindfashionslimited,ARVIN54248,Mar 2022 - Jun 2022,10-08-2022,312.25,374.65,263.1,0.19983987189751795
ARVINDFASN,arvindfashionslimited,ARVIN54248,Jun 2020 - Sep 2020,12-11-2020,126.85,171.2,126.8,0.349625541978715
AJANTPHARM,ajantapharma,AP22,Dec 2020 - Mar 2021,30-04-2021,1840.1,2331.9,1837.05,0.2672680832563449
AJANTPHARM,ajantapharma,AP22,Sep 2019 - Dec 2019,,1454.1,1512.85,1039.2,-0.2853311326593769
AKSHOPTFBR,akshoptifibre,AO03,Dec 2020 - Mar 2021,11-06-2021,7.6,13.2,7.15,0.7368421052631579
AKSHOPTFBR,akshoptifibre,AO03,Dec 2019 - Mar 2020,24-06-2020,6.9,8.3,4.35,-0.36956521739130443
ALCHEM,alchemist,A12,Mar 2019 - Jun 2019,12-08-2019,1.1,1.15,0.75,-0.31818181818181823
APLLTD,alembicpharmaceuticals,AP35,Mar 2019 - Jun 2019,29-07-2019,530.25,549.1,493.35,-0.06958981612446954
ALLCARGO,allcargologistics,AGL02,Dec 2020 - Mar 2021,23-06-2021,148.55,245.75,143.5,0.6543251430494782
ALLCARGO,allcargologistics,AGL02,Mar 2020 - Jun 2020,15-09-2020,122.9,140.9,116.25,0.14646053702196907
ALLCARGO,allcargologistics,AGL02,Mar 2019 - Jun 2019,07-08-2019,97.0,110.9,88.95,0.143298969072165
ADSL,allieddigitalservices,ADS01,Dec 2019 - Mar 2020,,17.0,26.4,16.05,0.5529411764705882
ADSL,allieddigitalservices,ADS01,Mar 2019 - Jun 2019,13-08-2019,12.65,15.5,12.65,0.225296442687747
ALLSEC,allsectechnologies,ALL01,Dec 2018 - Mar 2019,,317.0,317.05,260.7,-0.17760252365930604
ALOKINDS,alokindustries,AI54,Sep 2020 - Dec 2020,18-01-2021,23.7,23.7,19.65,-0.1708860759493671
ALPSINDUS,alpsindustries,AI12,Mar 2019 - Jun 2019,14-08-2019,0.5,0.6,0.3,-0.4
AMBUJACEM,ambujacements,AC18,Dec 2018 - Mar 2019,30-04-2019,220.5,239.15,205.4,0.08458049886621317
ARTEMISMED,artemismedicareservices,ARTEM54291,Mar 2022 - Jun 2022,11-08-2022,52.45,76.15,52.45,0.451858913250715
ARIHANT,arihantfoundationshousing,AFH,Sep 2018 - Dec 2018,14-02-2018,48.3,48.3,39.0,-0.19254658385093162
ARMANFIN,armanfinancialservices,AFS04,Mar 2022 - Jun 2022,14-08-2022,1226.9,1567.25,1226.9,0.2774064715950769
ARMANFIN,armanfinancialservices,AFS04,Jun 2019 - Sep 2019,12-12-2019,577.6,1092.4,577.6,0.8912742382271469
ARROWGREEN,arrowgreentech,ACP,Mar 2022 - Jun 2022,13-08-2022,76.1,131.4,74.2,0.7266754270696454
ARROWGREEN,arrowgreentech,ACP,Jun 2018 - Sep 2018,03-11-2018,109.2,130.35,84.25,-0.2284798534798535
ASAHISONG,asahisongwoncolors,ASC01,Mar 2022 - Jun 2022,04-08-2022,316.0,326.25,289.25,-0.08465189873417721
ASAHISONG,asahisongwoncolors,ASC01,Jun 2020 - Sep 2020,22-10-2020,211.15,271.1,211.15,0.2839213829031495
ASHAPURMIN,ashapuraminechem,AM07,Mar 2020 - Jun 2020,10-07-2020,44.5,89.3,36.2,1.0067415730337077
ASHIANA,ashianahousing,AH07,Dec 2019 - Mar 2020,16-06-2020,51.9,87.6,51.05,0.6878612716763005
ASHOKA,ashokabuildcon,AB,Dec 2021 - Mar 2022,25-05-2022,69.25,86.15,69.25,0.24404332129963907
ASIANHOTNR,asianhotelsnorth,AH,Jun 2020 - Sep 2020,12-11-2020,56.7,78.9,54.0,0.39153439153439157
ASIANHOTNR,asianhotelsnorth,AH,Dec 2018 - Mar 2019,,132.25,132.25,85.05,-0.3568998109640832
ASIANPAINT,asianpaints,AP31,Sep 2019 - Dec 2019,22-01-2020,1779.25,1893.7,1498.45,-0.15781930588731205
ASTRON,astronpaperboardmillltd,APB,Dec 2017 - Mar 2018,04-05-2018,135.9,135.9,102.15,-0.24834437086092714
ATLANTA,atlanta,A9,Dec 2019 - Mar 2020,,9.65,11.1,6.45,-0.3316062176165803
ATLANTA,atlanta,A9,Sep 2019 - Dec 2019,,5.55,7.6,2.7,-0.5135135135135135
AVTNPL,avtnaturalproducts,AVT02,Mar 2020 - Jun 2020,29-07-2020,39.0,49.2,37.75,0.2615384615384616
AXISBANK,axisbank,AB16,Jun 2019 - Sep 2019,22-10-2019,712.75,760.15,707.7,0.06650298141003154
AXISCADES,axiscadestechnologies,AXI,Jun 2020 - Sep 2020,12-11-2020,43.8,59.6,43.5,0.3607305936073061
BALPHARMA,balpharma,BP02,Jun 2022 - Sep 2022,14-11-2022,90.85,90.85,86.45,-0.048431480462300405
BALPHARMA,balpharma,BP02,Mar 2021 - Jun 2021,10-08-2021,93.95,108.8,91.45,0.15806279936136236
BALKRISIND,balkrishnaindustries,BI03,Sep 2019 - Dec 2019,08-02-2019,760.7,1003.35,760.7,0.31898251610358874
BALLARPUR,ballarpurindustries,BI12,Dec 2017 - Mar 2018,22-05-2018,11.05,11.75,8.3,-0.24886877828054296
BANG,bangoverseas,BO02,Mar 2022 - Jun 2022,13-08-2022,43.7,56.9,39.8,0.3020594965675056
BANG,bangoverseas,BO02,Dec 2020 - Mar 2021,30-06-2021,33.25,51.75,29.3,0.556390977443609
BASML,bannariammanspinningmills,BAS01,Sep 2019 - Dec 2019,14-02-2019,188.65,198.0,169.7,-0.10045056983832502
BEARDSELL,beardsell,B06,Dec 2017 - Mar 2018,28-05-2018,43.6,43.6,34.05,-0.21903669724770652
BERGEPAINT,bergerpaintsindia,BPI02,Sep 2019 - Dec 2019,01-02-2019,325.4,334.6,288.8,-0.11247695144437606
BGRENERGY,bgrenergysystems,BES,Mar 2022 - Jun 2022,12-08-2022,76.35,85.75,67.65,0.12311722331368705
BHAGYANGR,bhagyanagarindia,BI23,Sep 2018 - Dec 2018,10-02-2018,43.45,55.95,41.55,0.28768699654775604
BHARATFORG,bharatforge,BF03,Sep 2020 - Dec 2020,10-02-2020,499.3,499.3,218.5,-0.5623873422791908
BHARTIARTL,bhartiairtel,BA08,Sep 2021 - Dec 2021,03-02-2021,608.85,608.85,507.75,-0.1660507514166051
BHARTIARTL,bhartiairtel,BA08,Mar 2020 - Jun 2020,29-07-2020,566.2,566.2,397.7,-0.29759802190038864
BHARTIARTL,bhartiairtel,BA08,Dec 2019 - Mar 2020,,559.85,589.35,419.3,-0.2510493882289899
BHARTIARTL,bhartiairtel,BA08,Jun 2019 - Sep 2019,29-10-2019,359.9,524.25,359.9,0.4566546262850793
BHARTIARTL,bhartiairtel,BA08,Mar 2019 - Jun 2019,,361.2,393.55,335.6,0.08956256921373207
BIGBLOC,bigblocconstruction,BC19,Sep 2019 - Dec 2019,13-02-2019,25.35,37.85,25.35,0.49309664694280075
BLKASHYAP,blkashyapsons,BLK,Dec 2020 - Mar 2021,22-06-2021,29.25,29.25,23.15,-0.20854700854700858
BLKASHYAP,blkashyapsons,BLK,Jun 2020 - Sep 2020,12-11-2020,6.7,12.35,6.7,0.8432835820895521
BLKASHYAP,blkashyapsons,BLK,Mar 2019 - Jun 2019,12-08-2019,9.95,11.95,7.2,-0.2763819095477386
