SYMBOL,Company Name,Company Code,Quarter,Result Date,Price on Result Date,High in next 90 days,Low in next 90 days,Change
A2ZINFRA,a2zinfraengineering,AME02,Mar 2022 - Jun 2022,09-08-2022,13.6,13.6,10.05,-0.2610294117647058
A2ZINFRA,a2zinfraengineering,AME02,Mar 2021 - Jun 2021,21-07-2021,5.5,5.75,4.05,-0.26363636363636367
A2ZINFRA,a2zinfraengineering,AME02,Mar 2020 - Jun 2020,30-07-2020,4.1,5.5,3.55,0.3414634146341465
A2ZINFRA,a2zinfraengineering,AME02,Sep 2019 - Dec 2019,13-02-2019,11.6,19.2,11.6,0.6551724137931034
AARTIDRUGS,aartidrugs,AD,Dec 2019 - Mar 2020,,1270.55,3447.05,1259.1,1.713037660855535
AARTIDRUGS,aartidrugs,AD,Dec 2017 - Mar 2018,16-05-2018,566.8,625.45,513.35,0.10347565278757956
AARTIIND,aartiindustries,AI45,Jun 2019 - Sep 2019,13-11-2019,814.45,1016.45,764.25,0.2480201362882927
AARTIIND,aartiindustries,AI45,Mar 2019 - Jun 2019,13-08-2019,1724.55,1737.35,748.9,-0.5657417877127366
AARTISURF,aartisurfactantslimited,ASL08,Jun 2020 - Sep 2020,,748.7,1154.85,748.7,0.5424736209429676
AARVEEDEN,aarveedenimexports,ADE,Sep 2019 - Dec 2019,13-02-2019,21.65,25.15,20.1,0.16166281755196307
AARVEEDEN,aarveedenimexports,ADE,Jun 2019 - Sep 2019,14-11-2019,13.05,16.25,11.2,0.2452107279693486
AARVEEDEN,aarveedenimexports,ADE,Sep 2018 - Dec 2018,10-02-2018,47.05,54.45,39.75,0.1572794899043572
ABCAPITAL,adityabirlacapital,ABC9,Mar 2020 - Jun 2020,07-08-2020,59.15,72.65,58.6,0.2282333051563822
ABCAPITAL,adityabirlacapital,ABC9,Mar 2019 - Jun 2019,02-08-2019,81.7,96.65,76.4,0.18298653610771118
ABAN,abanoffshore,AO04,Mar 2021 - Jun 2021,30-07-2021,46.05,70.1,37.85,0.5222584147665581
ABAN,abanoffshore,AO04,Jun 2020 - Sep 2020,11-11-2020,23.3,31.3,22.65,0.34334763948497854
ABAN,abanoffshore,AO04,Mar 2020 - Jun 2020,10-08-2020,24.85,29.5,22.55,0.187122736418511
ABAN,abanoffshore,AO04,Mar 2019 - Jun 2019,12-08-2019,25.65,35.6,22.4,0.3879142300194933
ABAN,abanoffshore,AO04,Mar 2018 - Jun 2018,30-07-2018,109.95,118.1,71.05,-0.3537971805366076
ABMINTLLTD,abminternational,ABM02,Jun 2021 - Sep 2021,12-11-2021,108.3,137.3,97.45,0.26777469990766406
ACC,acc,ACC06,Dec 2019 - Mar 2020,21-04-2020,1136.75,1346.0,1122.2,0.18407741367934902
ACCELYA,accelyakalesolutions,KAL,Sep 2018 - Dec 2018,31-01-2019,922.4,950.15,909.6,0.030084562012142237
ACCURACY,accuracyshipping,AS26,Mar 2022 - Jun 2022,10-08-2022,217.65,269.3,198.9,0.23730760395129796
ACCURACY,accuracyshipping,AS26,Sep 2020 - Dec 2020,,55.05,66.15,49.9,0.20163487738419636
ACE,actionconstructionequipment,ACE3,Mar 2022 - Jun 2022,10-08-2022,226.95,334.25,226.95,0.47279136373650593
ADANIGREEN,adanigreenenergylimited,ADANI54145,Mar 2021 - Jun 2021,,919.1,1230.8,919.1,0.33913611141333905
ADANIPORTS,adaniportsspecialeconomiczone,MPS,Mar 2020 - Jun 2020,11-08-2020,335.0,371.1,313.75,0.10776119402985082
ADANIPOWER,adanipower,AP11,Dec 2020 - Mar 2021,06-05-2021,96.85,154.1,91.85,0.5911202891068663
ADANIPOWER,adanipower,AP11,Mar 2020 - Jun 2020,06-08-2020,35.2,40.95,35.0,0.1633522727272727
ADANIPOWER,adanipower,AP11,Dec 2017 - Mar 2018,03-05-2018,24.6,31.35,15.45,-0.3719512195121952
ADANITRANS,adanitransmission,AT22,Mar 2018 - Jun 2018,07-08-2018,176.05,233.4,147.95,0.32575972735018455
ADORWELD,adorwelding,AW01,Jun 2019 - Sep 2019,12-11-2019,316.05,345.5,285.35,-0.0971365290302167
ADVENZYMES,advancedenzymetechnologies,AET,Mar 2019 - Jun 2019,08-08-2019,158.3,191.05,144.75,0.2068856601389766
AEGISCHEM,aegislogistics,AL9,Jun 2021 - Sep 2021,27-10-2021,214.75,247.5,194.45,0.15250291036088476
AEGISCHEM,aegislogistics,AL9,Sep 2018 - Dec 2018,02-02-2018,268.05,292.95,228.4,-0.14792016414847978
AEGISCHEM,aegislogistics,AL9,Mar 2018 - Jun 2018,09-08-2018,232.3,237.25,175.85,-0.24300473525613436
AFFLE,affleindia,AI82,Dec 2021 - Mar 2022,14-05-2022,1034.3,1185.55,909.4,0.14623416803635308
AFFLE,affleindia,AI82,Dec 2020 - Mar 2021,29-05-2021,5224.75,5377.9,3836.15,-0.26577348198478395
AGARIND,agarwalindustrialcorporation,AIC03,Mar 2018 - Jun 2018,14-08-2018,322.75,322.75,181.6,-0.43733539891556933
