SYMBOL,Company Name,Company Code,Quarter,Result Date,Price on Result Date,High in next 90 days,Low in next 90 days,Change
AARTISURF,aartisurfactantslimited,ASL08,Sep 2021 - Dec 2021,,873.05,960.35,668.2,-0.23463719145524303
AAVAS,aavasfinanciers,AF17,Mar 2020 - Jun 2020,,1396.35,1535.7,1320.4,0.09979589644430131
BIRLAMONEY,adityabirlamoney,ABM01,Mar 2018 - Jun 2018,19-07-2018,51.5,73.45,44.05,0.42621359223300975
ADANIGREEN,adanigreenenergylimited,ADANI54145,Mar 2019 - Jun 2019,07-08-2019,47.8,92.65,43.4,0.9382845188284521
ADANIPORTS,adaniportsspecialeconomiczone,MPS,Jun 2021 - Sep 2021,27-10-2021,745.85,780.1,683.85,-0.08312663404169739
AWL,adaniwilmar,AW,Mar 2022 - Jun 2022,03-08-2022,697.9,815.95,654.85,0.1691503080670584
ADFFOODS,adffoodsindustries,AF30,Mar 2018 - Jun 2018,25-07-2018,243.3,273.85,194.9,-0.19893136046033705
ADORWELD,adorwelding,AW01,Sep 2019 - Dec 2019,05-02-2019,338.4,349.4,291.95,-0.13726359338061464
AEGISCHEM,aegislogistics,AL9,Jun 2022 - Sep 2022,08-11-2022,297.5,336.2,297.5,0.13008403361344534
AKASH,akashinfraprojects,AI76,Jun 2019 - Sep 2019,14-11-2019,60.15,99.4,60.15,0.6525353283458023
APLLTD,alembicpharmaceuticals,AP35,Dec 2019 - Mar 2020,23-04-2020,698.65,1011.45,698.65,0.4477206040220426
ALLCARGO,allcargologistics,AGL02,Jun 2022 - Sep 2022,09-11-2022,416.05,476.35,416.05,0.14493450306453554
ALMONDZ,almondzglobalsecurities,AGS,Dec 2018 - Mar 2019,27-05-2019,19.45,23.9,10.0,-0.4858611825192802
ALMONDZ,almondzglobalsecurities,AGS,Mar 2018 - Jun 2018,10-08-2018,37.5,40.6,20.1,-0.46399999999999997
ANSALAPI,ansalpropertiesinfrastructure,API07,Mar 2018 - Jun 2018,13-08-2018,16.25,16.45,9.9,-0.39076923076923076
APOLLOHOSP,apollohospitalsenterprises,AHE,Jun 2021 - Sep 2021,12-11-2021,4669.5,5733.95,4292.25,0.2279580254845272
APOLSINHOT,apollosindoorihotels,ASH,Mar 2019 - Jun 2019,13-08-2019,886.2,894.35,722.8,-0.18438275784247357
ARIHANTCAP,arihantcapitalmarkets,ACM02,Mar 2021 - Jun 2021,27-07-2021,174.4,177.05,129.15,-0.2594610091743119
ARSHIYA,arshiya,AI60,Dec 2019 - Mar 2020,27-06-2020,12.0,13.05,9.25,-0.22916666666666666
ARSHIYA,arshiya,AI60,Sep 2019 - Dec 2019,05-02-2019,28.8,36.75,27.15,0.27604166666666663
ARSHIYA,arshiya,AI60,Dec 2018 - Mar 2019,27-05-2019,31.65,33.0,15.2,-0.5197472353870458
ARSSINFRA,arssinfrastructureprojects,AIP,Jun 2019 - Sep 2019,14-11-2019,24.75,26.15,18.95,-0.23434343434343438
AGLSL,artemisgloballifescience,AGL03,Sep 2017 - Dec 2017,,116.0,116.0,96.85,-0.16508620689655176
ASAHISONG,asahisongwoncolors,ASC01,Jun 2021 - Sep 2021,26-10-2021,325.85,325.85,256.6,-0.2125210986650299
ASHAPURMIN,ashapuraminechem,AM07,Jun 2018 - Sep 2018,12-11-2018,28.9,33.3,20.7,-0.28373702422145325
ASIANTILES,asiangranitoindia,AGI04,Sep 2019 - Dec 2019,12-02-2019,153.05,246.15,149.8,0.6082979418490688
AHLEAST,asianhotelseast,AHE01,Jun 2022 - Sep 2022,14-11-2022,124.5,124.5,111.1,-0.10763052208835346
ASTERDM,asterdmhealthcareltd,ADH,Dec 2019 - Mar 2020,23-06-2020,125.35,145.65,120.0,0.16194654966094943
ATUL,atul,A06,Sep 2019 - Dec 2019,24-01-2020,4596.45,5358.75,3506.25,-0.2371830434356949
AURIONPRO,aurionprosolutions,PS12,Mar 2018 - Jun 2018,,196.5,196.5,139.8,-0.28854961832061066
AUROPHARMA,aurobindopharma,AP,Mar 2020 - Jun 2020,12-08-2020,934.2,934.2,743.75,-0.20386426889317066
AXISCADES,axiscadestechnologies,AXI,Mar 2019 - Jun 2019,01-08-2019,62.8,84.45,58.4,0.3447452229299364
AXISCADES,axiscadestechnologies,AXI,Sep 2018 - Dec 2018,13-02-2018,175.55,182.7,136.6,-0.22187410994018805
BAJAJ-AUTO,bajajauto,BA10,Sep 2019 - Dec 2019,30-01-2020,3145.5,3284.5,1935.55,-0.3846606262915276
BALAMINES,balajiamines,BA05,Dec 2018 - Mar 2019,,378.4,378.4,218.2,-0.4233615221987315
BANCOINDIA,bancoproductsindia,BPI,Dec 2017 - Mar 2018,30-05-2018,216.9,232.45,196.25,-0.09520516366989398
BANG,bangoverseas,BO02,Dec 2021 - Mar 2022,30-05-2022,41.4,51.2,38.2,0.23671497584541074
BANKA,bankabioloo,BB08,Mar 2021 - Jun 2021,13-08-2021,70.6,92.9,61.95,0.3158640226628897
